Player,Season,Age,Team,League,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TOV
Francisco Amarante,2020-21,20,FC Porto Ferpinta,P-LPB,36,15.4,4.8,1.7,4.6,37.6,1.1,2.9,36.9,0.3,0.6,47.6,1.7,2.0,0.5,0.0,1.3
Francisco Amarante,2021-22,21,FC Porto Ferpinta,P-LPB,36,20.1,7.4,2.5,5.9,42.5,1.6,3.9,40.0,0.8,1.1,69.2,2.5,2.5,0.7,0.2,1.5
Francisco Amarante,2021-22,21,FC Porto Ferpinta,P-LPB,36,20.1,7.4,2.5,5.9,42.5,1.6,3.9,40.0,0.8,1.1,69.2,2.5,2.5,0.7,0.2,1.5
Francisco Amarante,2022-23,22,FC Porto Ferpinta,P-LPB,37,17.4,5.2,1.8,4.8,36.9,0.8,2.5,31.9,0.8,1.2,68.9,2.9,1.8,1.1,0.0,0.9
Francisco Amarante,2023-24,23,Alimerka Oviedo Baloncesto,Primera FEB,13,14.3,4.5,1.6,5.2,30.9,0.7,3.0,23.1,0.5,0.6,87.5,1.4,1.3,0.5,0.0,1.1
Francisco Amarante,2024-25,24,Alimerka Oviedo Baloncesto,Primera FEB,33,20.8,6.0,1.9,5.6,34.2,1.0,2.8,35.9,1.2,1.5,79.2,3.5,1.9,0.5,0.1,1.5
Francisco Amarante,2025-26,25,Sporting Clube de Portugal,P-LPB,28,27.3,10.9,3.9,9.5,41.2,1.4,5.1,28.0,1.6,2.3,70.8,5.8,2.6,1.0,0.0,2.0
"Hernandez, Joel",2018-19,23,Suwon KT Sonicboom,KBL,2,13.6,6.0,2.5,10.0,25.0,0.0,2.5,0.0,1.0,1.5,66.7,4.0,0.0,1.5,0.0,1.5
"Hernandez, Joel",2019-20,24,Marin Peixegalego,Primera FEB,16,19.9,7.4,2.8,8.9,31.5,0.6,1.8,31.0,1.2,2.3,51.4,1.9,0.6,0.4,0.1,1.9
"Hernandez, Joel",2020-21,25,Manderas Sorli Benicarlo,Segunda FEB,10,25.2,13.1,4.8,11.4,42.1,1.0,3.5,,2.5,3.8,65.8,3.5,1.3,0.9,0.1,2.7
Juani Marcos,2020-21,20,FC Barcelona II,Segunda FEB,32,22.8,8.2,2.8,6.5,44.0,1.1,3.5,31.9,1.4,1.5,95.8,3.4,3.0,1.2,0.1,2.3
Juani Marcos,2021-22,21,Forca Lleida CE,Primera FEB,25,26.4,10.8,3.5,8.6,40.3,1.4,4.0,35.6,2.4,2.8,83.1,2.5,2.3,1.3,0.1,1.8
Juani Marcos,2022-23,22,Forca Lleida CE,Primera FEB,38,27.5,11.8,4.3,9.3,46.2,1.9,4.9,38.0,1.3,1.5,84.2,3.0,3.9,1.2,0.0,2.2
Juani Marcos,2023-24,23,CB Girona,ACB,22,22.6,9.7,3.3,7.9,42.0,1.4,3.8,35.7,1.7,2.0,84.1,3.1,3.5,1.3,0.2,1.9
Juani Marcos,2024-25,24,CB Girona,ACB,28,21.0,8.2,2.8,7.0,40.0,1.4,4.0,35.1,1.3,1.5,83.7,1.9,4.3,0.9,0.1,1.8
Juani Marcos,2025-26,25,Barca,ACB,43,14.3,4.5,1.6,3.6,46.0,0.9,2.1,45.1,0.3,0.5,66.7,1.5,1.8,0.7,0.2,1.0
"Agravánis, Dimítrios",2020-21,,ASP Promitheas Patras,HEBA A1,31,26:36,13.9,4.7,10.5,45.2,1.5,4.3,35.1,2.9,4.0,73.4,5.9,1.4,0.9,0.5,1.5
"Agravánis, Dimítrios",2021-22,26,ASP Promitheas Patras,HEBA A1,29,25:06,14.0,5.0,9.4,53.7,0.7,2.6,26.3,3.3,5.0,66.0,6.3,2.4,1.2,0.4,1.5
"Agravánis, Dimítrios",2022-23,27,Panathinaikos,HEBA A1,14,17:42,8.2,3.2,6.1,52.3,0.8,2.7,28.9,1.0,1.4,73.7,4.1,1.1,0.7,0.2,1.2
"Agravánis, Dimítrios",2023-24,28,AEK Athens,HEBA A1,14,17:18,7.1,2.4,5.5,42.9,0.6,2.0,28.6,1.9,3.1,60.5,4.3,0.5,0.2,0.1,0.2
"Agravánis, Dimítrios",2024-25,29,Neptunas,LKL,4,22:48,14.0,5.2,8.5,61.8,0.2,2.0,12.5,3.2,4.8,68.4,3.8,1.0,0.5,1.0,1.2
"Agravánis, Dimítrios",2025-26,30,Ningbo Rockets,CBA,3,9:42,6.7,1.7,4.0,41.7,0.3,0.7,50.0,3.0,3.3,90.0,2.3,0.0,0.3,0.3,0.7
Isaac Fotu,2020-21,27,Umana Venezia,Lega A,18,20.5,8.5,3.3,5.3,62.1,0.4,1.0,44.4,1.5,2.6,58.7,2.8,0.6,0.2,0.2,1.6
Isaac Fotu,2021-22,27,Link Tochigi Brex,B.League,62,25.0,13.2,5.6,9.5,59.4,0.2,0.5,37.9,1.8,2.9,63.3,6.1,1.2,0.9,0.3,1.1
Isaac Fotu,2022-23,28,Link Tochigi Brex,B.League,58,26.8,12.9,5.7,10.3,54.8,0.2,0.6,36.1,1.3,2.3,58.8,6.4,1.7,0.5,0.2,0.8
Isaac Fotu,2023-24,29,Link Tochigi Brex,B.League,60,23.7,11.4,4.7,8.1,58.0,0.3,1.0,31.1,1.7,2.4,69.7,6.3,1.3,0.6,0.2,0.9
Isaac Fotu,2024-25,30,Link Tochigi Brex,B.League,67,19.8,11.1,4.3,7.2,59.3,0.5,1.6,29.6,2.1,3.2,64.5,4.8,1.3,0.3,0.1,0.7
Isaac Fotu,2025-26,31,Link Tochigi Brex,B.League,53,24.7,14.6,6.0,9.8,61.3,0.4,1.6,27.4,2.2,3.5,63.3,6.4,2.1,0.5,0.1,1.0
Nacho Arroyo,2020-21,20,Movistar Estudiantes,ACB,3,9.4,2.7,1.3,4.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.7,1.3,0.3,0.0,0.3
Nacho Arroyo,2021-22,21,Movistar Estudiantes,Primera FEB,40,18.0,5.8,2.1,5.0,42.8,0.7,2.0,35.0,0.8,1.0,79.5,1.7,2.1,0.6,0.1,0.9
Nacho Arroyo,2022-23,22,Hestia Menorca,Segunda FEB,32,22.7,10.6,3.8,8.9,42.1,1.8,4.8,38.6,1.2,1.5,81.6,2.2,1.9,1.1,0.1,1.4
Nacho Arroyo,2023-24,23,Forca Lleida CE,Primera FEB,39,20.2,7.1,2.4,5.6,43.3,0.9,2.7,34.6,1.4,1.7,81.8,2.3,3.1,0.8,0.2,1.3
